ItemCode	Brand	PartNo	Description	DLNr	ArtNr
01.080*0375	CONTITECH	01.080*0375	ΙΜΑΝΤΕΣ  08 * 0375  ΑΠΛΟ CONTI		
01.080*0400	CONTITECH	01.080*0400	ΙΜΑΝΤΕΣ  08 * 0400  ΑΠΛΟ CONTI		
01.080*0430	CONTITECH	01.080*0430	ΙΜΑΝΤΕΣ  08 * 0430  ΑΠΛΟ CONTI		
01.080*0450	CONTITECH	01.080*0450	ΙΜΑΝΤΕΣ  08 * 0450  ΑΠΛΟ CONTI		
01.080*0475	CONTITECH	01.080*0475	ΙΜΑΝΤΕΣ  08 * 0475  ΑΠΛΟ CONTI		
01.080*0495	CONTITECH	01.080*0495	ΙΜΑΝΤΕΣ  08 * 0495  ΑΠΛΟ CONTI		
01.080*0500	CONTITECH	01.080*0500	ΙΜΑΝΤΕΣ  08 * 0500  ΑΠΛΟ CONTI		
01.080*0530	CONTITECH	01.080*0530	ΙΜΑΝΤΕΣ  08 * 0530  ΑΠΛΟ CONTI	31	8X530Li
01.080*0560	CONTITECH	01.080*0560	ΙΜΑΝΤΕΣ  08 * 0560  ΑΠΛΟ CONTI		
01.080*0580	CONTITECH	01.080*0580	ΙΜΑΝΤΕΣ  08 * 0580  ΑΠΛΟ CONTI	31	8X580Li
01.080*0600	CONTITECH	01.080*0600	ΙΜΑΝΤΕΣ  08 * 0600  ΑΠΛΟ CONTI		
01.080*0630	CONTITECH	01.080*0630	ΙΜΑΝΤΕΣ  08 * 0630  ΑΠΛΟ CONTI		
01.080*0670	CONTITECH	01.080*0670	ΙΜΑΝΤΕΣ  08 * 0670  ΑΠΛΟ CONTI		
01.080*0680	CONTITECH	01.080*0680	ΙΜΑΝΤΕΣ  08 * 0680  ΑΠΛΟ CONTI		
01.080*0710	CONTITECH	01.080*0710	ΙΜΑΝΤΕΣ  08 * 0710  ΑΠΛΟ CONTI		
01.080*0750	CONTITECH	01.080*0750	ΙΜΑΝΤΕΣ  08 * 0750  ΑΠΛΟ CONTI		
01.080*0800	CONTITECH	01.080*0800	ΙΜΑΝΤΕΣ  08 * 0800  ΑΠΛΟ CONTI		
01.080*0830	CONTITECH	01.080*0830	ΙΜΑΝΤΕΣ  08 * 0830  ΑΠΛΟ CONTI		
01.080*0850	CONTITECH	01.080*0850	ΙΜΑΝΤΕΣ  08 * 0850  ΑΠΛΟ CONTI		
01.080*0875	CONTITECH	01.080*0875	ΙΜΑΝΤΕΣ  08 * 0875  ΑΠΛΟ CONTI		
01.080*0900	CONTITECH	01.080*0900	ΙΜΑΝΤΕΣ  08 * 0900  ΑΠΛΟ CONTI		
01.080*1000	CONTITECH	01.080*1000	ΙΜΑΝΤΕΣ  08 * 1000  ΑΠΛΟ CONTI		
01.080*1250	CONTITECH	01.080*1250	ΙΜΑΝΤΕΣ  08 * 1250  ΑΠΛΟ CONTI		
01.095*0500	CONTITECH	01.095*0500	ΙΜΑΝΤΕΣ  9.5 *  500LA  "SPZ487" CONTI		
01.095*0525	CONTITECH	01.095*0525	ΙΜΑΝΤΕΣ  9.5 *  525LA  "SPZ512" CONTI		
01.095*0575	CONTITECH	01.095*0575	ΙΜΑΝΤΕΣ  9.5 *  575LA  "SPZ562" CONTI		
01.095*0600	CONTITECH	01.095*0600	ΙΜΑΝΤΕΣ  9.5 *  600LA  "SPZ587" CONTI		
01.095*0625	CONTITECH	01.095*0625	ΙΜΑΝΤΕΣ  9.5 *  625LA  "SPZ612" CONTI		
01.095*0650	CONTITECH	01.095*0650	ΙΜΑΝΤΕΣ  9.5 *  650LA  "SPZ637" CONTI		
01.095*0675	CONTITECH	01.095*0675	ΙΜΑΝΤΕΣ  9.5 *  675LA  "SPZ662" CONTI		
01.095*0683	CONTITECH	01.095*0683	ΙΜΑΝΤΕΣ  9.5 *  683LA  "SPZ670" CONTI		
01.095*0690	CONTITECH	01.095*0690	ΙΜΑΝΤΕΣ  9.5 *  690LA  "SPZ677" CONTI		
01.095*0700	CONTITECH	01.095*0700	ΙΜΑΝΤΕΣ  9.5 *  700LA  "SPZ687" CONTI		
01.095*0710	CONTITECH	01.095*0710	ΙΜΑΝΤΕΣ  9.5 *  710LA  "SPZ697" CONTI		
01.095*0725	CONTITECH	01.095*0725	ΙΜΑΝΤΕΣ  9.5 *  725LA  "SPZ710" CONTI		
01.095*0735	CONTITECH	01.095*0735	ΙΜΑΝΤΕΣ  9.5 *  735LA  "SPZ722" CONTI		
01.095*0750	CONTITECH	01.095*0750	ΙΜΑΝΤΕΣ  9.5 *  750LA  "SPZ737" CONTI		
01.095*0763	CONTITECH	01.095*0763	ΙΜΑΝΤΕΣ  9.5 *  763LA  "SPZ750" CONTI		
01.095*0775	CONTITECH	01.095*0775	ΙΜΑΝΤΕΣ  9.5 *  775LA  "SPZ762" CONTI		
01.095*0785	CONTITECH	01.095*0785	ΙΜΑΝΤΕΣ  9.5 *  785LA  "SPZ772" CONTI		
01.095*0800	CONTITECH	01.095*0800	ΙΜΑΝΤΕΣ  9.5 *  800LA  "SPZ787" CONTI		
01.095*0813	CONTITECH	01.095*0813	ΙΜΑΝΤΕΣ  9.5 *  813LA  "SPZ800" CONTI		
01.095*0825	CONTITECH	01.095*0825	ΙΜΑΝΤΕΣ  9.5 *  825LA  "SPZ812" CONTI	31	SPZ812
01.095*0838	CONTITECH	01.095*0838	ΙΜΑΝΤΕΣ  9.5 *  838LA  "SPZ825" CONTI		
01.095*0850	CONTITECH	01.095*0850	ΙΜΑΝΤΕΣ  9.5 *  850LA  "SPZ837" CONTI		
01.095*0864	CONTITECH	01.095*0864	ΙΜΑΝΤΕΣ  9.5 *  864LA  "SPZ850" CONTI	31	SPZ850
01.095*0875	CONTITECH	01.095*0875	ΙΜΑΝΤΕΣ  9.5 *  875LA  "SPZ862" CONTI		
01.095*0888	CONTITECH	01.095*0888	ΙΜΑΝΤΕΣ  9.5 *  888LA  "SPZ875" CONTI	31	SPZ875
01.095*0900	CONTITECH	01.095*0900	ΙΜΑΝΤΕΣ  9.5 *  900LA  "SPZ887" CONTI		
01.095*0913	CONTITECH	01.095*0913	ΙΜΑΝΤΕΣ  9.5 *  913LA  "SPZ900" CONTI		
01.095*0925	CONTITECH	01.095*0925	ΙΜΑΝΤΕΣ  9.5 *  925LA  "SPZ912" CONTI		
01.095*0935	CONTITECH	01.095*0935	ΙΜΑΝΤΕΣ  9.5 *  935LA  "SPZ922" CONTI		
01.095*0950	CONTITECH	01.095*0950	ΙΜΑΝΤΕΣ  9.5 *  950LA  "SPZ937" CONTI		
01.095*0960	CONTITECH	01.095*0960	ΙΜΑΝΤΕΣ  9.5 *  960LA  "SPZ947" CONTI		
01.095*0965	CONTITECH	01.095*0965	ΙΜΑΝΤΕΣ  9.5 *  965LA  "SPZ950" CONTI		
01.095*0975	CONTITECH	01.095*0975	ΙΜΑΝΤΕΣ  9.5 *  975LA  "SPZ962" CONTI		
01.095*0983	CONTITECH	01.095*0983	ΙΜΑΝΤΕΣ  9.5 *  983LA  "SPZ970" CONTI		
01.095*1000	CONTITECH	01.095*1000	ΙΜΑΝΤΕΣ  9.5 * 1000LA  "SPZ987" CONTI		
01.095*1013	CONTITECH	01.095*1013	ΙΜΑΝΤΕΣ  9.5 * 1013LA  "SPZ1000" CONTI		
01.095*1025	CONTITECH	01.095*1025	ΙΜΑΝΤΕΣ  9.5 * 1025LA  "SPZ1012" CONTI		
01.095*1037	CONTITECH	01.095*1037	ΙΜΑΝΤΕΣ  9.5 * 1037LA  "SPZ1024" CONTI		
01.095*1050	CONTITECH	01.095*1050	ΙΜΑΝΤΕΣ  9.5 * 1050LA  "SPZ1037" CONTI		
01.095*1060	CONTITECH	01.095*1060	ΙΜΑΝΤΕΣ  9.5 * 1060LA  "SPZ1047" CONTI		
01.095*1075	CONTITECH	01.095*1075	ΙΜΑΝΤΕΣ  9.5 * 1075LA  "SPZ1060" CONTI		
01.095*1090	CONTITECH	01.095*1090	ΙΜΑΝΤΕΣ  9.5 * 1090LA  "SPZ1077" CONTI		
01.095*1100	CONTITECH	01.095*1100	ΙΜΑΝΤΕΣ  9.5 * 1100LA  "SPZ1087" CONTI		
01.095*1125	CONTITECH	01.095*1125	ΙΜΑΝΤΕΣ  9.5 * 1125LA  "SPZ1112" CONTI		
01.095*1133	CONTITECH	01.095*1133	ΙΜΑΝΤΕΣ  9.5 * 1133LA  "SPZ1120" CONTI		
01.095*1150	CONTITECH	01.095*1150	ΙΜΑΝΤΕΣ  9.5 * 1150LA  "SPZ1137" CONTI		
01.095*1160	CONTITECH	01.095*1160	ΙΜΑΝΤΕΣ  9.5 * 1160LA  "SPZ1147" CONTI		
01.095*1175	CONTITECH	01.095*1175	ΙΜΑΝΤΕΣ  9.5 * 1175LA  "SPZ1162" CONTI		
01.095*1184	CONTITECH	01.095*1184	ΙΜΑΝΤΕΣ  9.5 * 1184LA  "SPZ1171" CONTI		
01.095*1193	CONTITECH	01.095*1193	ΙΜΑΝΤΕΣ  9.5 * 1193LA  "SPZ1180" CONTI		
