ItemCode	Brand	PartNo	Description	DLNr	ArtNr
01145	FEBI	01145	FEBI ΜΑΡΚΟΥΤΣΙ ΦΡΕΝΩΝ	101	01145
01146	FEBI	01146	FEBI ΗΜΙΜΠΑΡΟ ΚΡΕΜΑΓΙΕΡΑΣ ΑΡΙΣΤ. VAG	101	01146
01147	FEBI	01147	FEBI ΗΜΙΜΠΑΡΟ ΚΡΕΜΑΓΙΕΡΑΣ ΔΕΞ. VAG	101	01147
01150	FEBI	01150	FEBI ΜΠΑΛΑΚΙ ΨΑΛΙΔΙΟΥ ΚΑΤΩ VAG	101	01150
01158	FEBI	01158	FEBI ΜΠΑΛΑΚΙ ΨΑΛΙΔΙΟΥ ΚΑΤΩ VAG	101	01158
01163	FEBI	01163	FEBI ΗΜΙΜΠΑΡΟ ΚΡΕΜΑΓΙΕΡΑΣ ΑΡΙΣΤ. SEAT	101	01163
01165	FEBI	01165	FEBI ΝΤΙΖΑ ΤΑΧΥΤΗΤΩΝ VAG	101	01165
01166	FEBI	01166	FEBI ΜΠΑΡΑ ΕΠΙΛΟΓΕΑ ΤΑΧΥΤΗΤΩΝ VAG	101	01166
01168	FEBI	01168	FEBI ΒΑΛΒΙΔΑ ΕΛΕΓΧΟΥ MERCEDES	101	01168
01169	FEBI	01169	FEBI ΗΜΙΜΠΑΡΟ ΚΡΕΜΑΓΙΕΡΑΣ ΔΕΞ. SEAT	101	01169
01170	FEBI	01170	FEBI ΦΟΥΣΚΑ ΜΠΙΛΙΟΦΟΡΟΥ ΕΞΩΤ. VAG	101	01170
01171	FEBI	01171	FEBI ΦΟΥΣΚΑ ΜΠΙΛΙΟΦΟΡΟΥ ΕΞΩΤ. VAG	101	01171
01172	FEBI	01172	FEBI ΣΥΝΕΜΠΛΟΚ ΠΙΣΩ ΑΞΟΝΑ VAG	101	01172
01173	FEBI	01173	FEBI ΣΤΟΠ ΑΝΑΡΤΗΣΗΣ VAG	101	01173
01175	FEBI	01175	FEBI ΜΑΡΚΟΥΤΣΙ ΦΡΕΝΩΝ VAG	101	01175
01184	FEBI	01184	FEBI ΜΑΡΚΟΥΤΣΙ ΦΡΕΝΩΝ VAG	101	01184
01185	FEBI	01185	FEBI ΑΜΟΡΤΙΣΕΡΑΚΙ ΠΟΡΤ ΜΠΑΓΚΑΖ VW	101	01185
01186	FEBI	01186	FEBI ΑΜΟΡΤΙΣΕΡΑΚΙ ΚΑΠΩ VAG	101	01186
01187	FEBI	01187	FEBI ΑΜΟΡΤΙΣΕΡΑΚΙ ΚΑΠΩ ΑΠΟΣΚΕΥΩΝ VAG	101	01187
01188	FEBI	01188	FEBI ΑΜΟΡΤΙΣΕΡΑΚΙ ΚΑΠΩ VAG	101	01188
01189	FEBI	01189	FEBI ΑΜΟΡΤΙΣΕΡΑΚΙ ΚΑΠΩ VAG	101	01189
01201	FEBI	01201	FEBI ΣΥΝΕΜΠΛΟΚ ΠΙΣΩ ΑΞΩΝΑ ΣΕΤ VW	101	01201
01202	FEBI	01202	FEBI ΒΙΔΑ ΑΛΕΝ MERCEDES	101	01202
01204	FEBI	01204	FEBI ΕΠΑΦΗ ΔΙΑΚΟΠΤΗ ΜΗΧΑΝΗΣ OPEL	101	01204
01208	FEBI	01208	FEBI ΚΛΕΙΔΑΡΙΑ ΤΙΜΟΝΙΟΥ MERCEDES	101	01208
